n,title,is_pr,state,created,closed,author,comments,labels
747,input-remapper-gtk not launching ,False,CLOSED,2023-08-08,2023-10-11,TeslaMan3092,2,
749,Feature Request: Could be added an option to send fake touch screen inputs?,False,OPEN,2023-08-15,,CarlosEkisde,0,feature request
750,GDM login screen,False,OPEN,2023-08-16,,mfauvain,1,environment incompatibility
752,Help with a macro,False,CLOSED,2023-08-16,2023-08-18,altoryus,6,
753,Can't map buttons,False,OPEN,2023-08-18,,lauriehowells,4,
754,keep ctrl key pressed between 2 maps...,False,OPEN,2023-08-19,,barruda,0,
755,install didnt work,False,CLOSED,2023-08-24,2023-10-11,vuaieo,1,packaging
756,"Mouse-button gets stuck, can't stop injection",False,CLOSED,2023-08-24,2023-11-05,vuaieo,3,
757,Feature request: Display which mapping are running,False,OPEN,2023-08-25,,TherinS,0,feature request
758,Mapping to Unicode Character,False,CLOSED,2023-08-27,2023-08-29,montanajava,2,
761,Unable to activate two swaps simultaneously,False,CLOSED,2023-09-03,2023-10-11,pedromarun,2,
763,Add an option to shut down the program fully when closing the app window (including background service/s),False,CLOSED,2023-09-04,2023-10-11,onlyreportingissues,1,
764,Add an option that allows to set a custom hotkey for disabling the injection without having to focus the app window first,False,OPEN,2023-09-04,,onlyreportingissues,1,feature request
765,'Release input': Sticky Combination Keys,False,OPEN,2023-09-05,,devycarol,0,bug
766,Two DualShocks connected via bluetooth - only one is remapped,False,OPEN,2023-09-05,,mfauvain,22,bug
767,Can this be used to make a virtual gamepad driven by keyboard and mouse?,False,CLOSED,2023-09-06,2023-11-05,artivision,2,
768,add an option to export/import config,False,OPEN,2023-09-09,,eret9616,1,feature request
769,pydantic.errors.PydanticUserError,False,CLOSED,2023-09-14,2023-09-19,BillboardsAreAllLearing,23,
770,python3-pydbus not available in Almalinux 9,False,OPEN,2023-09-14,,theorin,1,"environment incompatibility,packaging"
771,Feature request: add option to execute macro on key release.,False,CLOSED,2023-09-16,2023-10-11,sabudum,4,feature request
772,input-remapper-control not starting,False,CLOSED,2023-09-18,2023-09-19,Degra02,4,
773,Fix pydantic error (allow pydantic v1 and v2 at the same time),True,MERGED,2023-09-18,2023-09-18,stasadev,3,
774,"Fresh install, unable to start input-remapper.service",False,CLOSED,2023-09-19,2023-09-29,r04dw4rri0r,6,
775,Correct device not listed.,False,CLOSED,2023-09-21,2023-10-12,1094,4,
776,Can't open input remapper on fedora,False,CLOSED,2023-09-24,2023-09-24,Ekronke,1,
777,I cannot set [ and ]?,False,CLOSED,2023-09-25,2023-11-05,TravelTrader,1,
778,Don't reset joystick position when mapping from REL to ABS,False,OPEN,2023-09-28,,ghost,2,feature request
779,Missing dependencies - failing tests,False,OPEN,2023-10-02,,alxpl,3,packaging
780,Prevent gamepad creation,False,CLOSED,2023-10-03,2023-10-11,F2FG,7,
781,Error launching the application,False,CLOSED,2023-10-04,2023-10-11,AccaGihu,1,
783,Cannot inject `Control_L+Shift_L+p`,False,CLOSED,2023-10-09,2023-10-13,RodrigoA-Fernandez,3,
785,How to disable the key,False,CLOSED,2023-10-11,2023-10-11,jcgaming-official,1,
786,Toggle mouse cursor,False,OPEN,2023-10-11,,TonyginSLC,1,feature request
787,Fails to start after recent Arch/Manjaro updates,False,CLOSED,2023-10-11,2023-11-05,izzylaif,2,bug
788,Add alternative ways to configure input to the Record button,False,OPEN,2023-10-16,,jcgaming-official,2,feature request
789,Failed to enable unit: Refusing to operate on alias name or linked unit file: input-remapper.service,False,CLOSED,2023-10-18,2023-11-12,Strykar,4,
790,output not working in wine/wow,False,CLOSED,2023-10-19,2024-02-20,lordkitsuna,3,
792,Desktop Only remapping,False,CLOSED,2023-10-24,2023-11-05,AgentiLoop,1,
794,Changes between version 1 and 2 break modifier() behavior,False,OPEN,2023-10-27,,IgorCordasProGlove,2,
795,Switch Win to Fn and Fn to Win,False,CLOSED,2023-10-28,2023-11-08,hollisticated-horse,2,
796,Update it_IT.po,True,MERGED,2023-10-29,2023-11-05,albanobattistella,3,
798,1+1+2+3+4+1 outputs 4321,False,CLOSED,2023-10-29,2023-11-04,RickAndTired,3,
800,Request: Ability to assign mouse cursor movements to `input-remapper mouse` device,False,CLOSED,2023-11-02,2023-11-05,tai-mai,6,
801,Input Remapper plugin doesn't autostart,False,CLOSED,2023-11-04,2023-11-04,ghost,1,
802,Error and Can't boot the OS [N] EXT4-fs error (device sda7): ext4_lookup:1851 inode#N: com input-remapper-: iget: checksum invalid,False,CLOSED,2023-11-06,2023-11-07,jcgaming-official,8,
803,Store Current Mouse Position as a Variable,False,CLOSED,2023-11-07,2023-11-07,itsDevBlaze,2,
804,Adds layer implementations to examples.md,True,CLOSED,2023-11-08,2025-06-18,cheynetom,1,
805,How can I press 4 keys within a macro?,False,CLOSED,2023-11-09,2023-11-11,RickAndTired,2,
807,docs: remove redundant install step on Fedora,True,MERGED,2023-11-12,2023-11-12,Merrit,1,
808,AUR package failing to build,False,CLOSED,2023-11-17,2023-11-17,Kalidibus,2,
809,Update zh_CN.po,True,MERGED,2023-11-18,2023-11-19,xyzhou-1,1,
810,key-mapper.service does not exist,False,CLOSED,2023-11-19,2023-11-19,rh1thmm,0,
