n,title,author,created,comments,answered
451,Global config for all keyboards,nullbyto,2022-08-04,1,True
456,Mouse Axis to keyboard,thedrakeraider,2022-08-10,1,False
461,hold_keys(q) repeats when used with mouse button,heartburn22,2022-08-24,1,False
464,Gamepad emulation,zehthales,2022-09-01,2,False
465,Trying to emulate hitbox controller rules,zehthales,2022-09-01,2,False
470,input-remapper install error,jbealle,2022-09-03,1,False
474,how to map Menu to Meta?,Oreolek,2022-09-13,1,True
476,Triple Click,sirmbhe,2022-09-14,2,True
482,'input-remapper-control --list' without 'sudo',DreadPirateLynx,2022-09-21,3,False
491,how to swap alt and altgr?,geschaenk,2022-10-12,1,False
499,Input Remapper settings,Aqua1ung,2022-10-17,1,True
504,Device naming,Aqua1ung,2022-10-21,1,False
512,Remap of Windows key,stygge-ulv,2022-10-23,2,False
513,right mouse button remap to left mouse button and back,ZeRenCZ,2022-10-23,0,False
521,Different modifiers for same mouse button?,wh0isit,2022-10-28,0,False
541,How to remap Super_L as something else ?,rpringadi,2022-11-15,0,False
563,Initial delay,rcpoison,2022-12-01,1,True
575,Assign key to change preset,jimfenton75,2022-12-11,0,False
580,Toggle to repeat,Legionsys,2022-12-20,1,False
584,Multiple instances of input-remapper-service in system processes,a-e-egorov,2022-12-25,1,False
585,Scrolling button,MikelArdRi,2022-12-26,2,False
587,Steam Deck Installation,MadogPL,2022-12-29,1,False
598,Remap CTRL+A to ALT+A,nicolas-t,2023-01-22,0,False
601,Suggestion for Xbox-Style controller that has working paddles/extra buttons?,Mindus-Amitiel-Debsin,2023-01-29,1,False
606,more robust joystic/HOTAS support,m9365428,2023-02-01,1,False
608,Mac-style Keyboard Bindings on a Windows Keyboard with Alt as Cmd,ubunatic,2023-02-04,2,False
610,You can throw your mouse away with this keyboard remapping| vim gang,cutbypham,2023-02-07,3,False
622,[WAYLAND] How to enable mappings with compositor (manual) startup?,pauromateusu,2023-02-17,0,False
624,How do I enable presets at startup?,adriaan35134231451324,2023-02-18,1,False
643,Using multiple modifiers inside if_tap and modify,rRobis,2023-03-03,1,True
650,Controlling volume with analog stick,zany130,2023-03-05,1,True
660,Help inverting a key,JesseCSlater,2023-03-15,1,False
670,Bursty typist issues,pablos-here,2023-03-27,0,False
675,v2.0 in Debian Bookworm?,HibGut,2023-03-30,2,False
678,Hair trigger?,burntbyhellfire,2023-04-02,1,False
679,2.0 fails on OpenSuse Tumbleweed,KayTaneJupiter,2023-04-03,1,False
688,Keymap Layering/Shifting with Assigned Key (Like Hypershift in Synapse for Keypads),MicHaeL-MonStaR,2023-04-17,2,False
693,Output Section as List like Input Section,MicHaeL-MonStaR,2023-04-27,0,False
696,HowTo Ubuntu 22.04 desktop zoom,mrspirytus,2023-05-01,1,False
704,Record doesn't pick up Razer Orbweaver,MABowser,2023-05-10,1,False
713,Razer Tartarus v2 and Steam Deck,Mcdonnellpatrick,2023-05-24,0,False
722,Multistroke / Repeat Slow Modified Keypress,Myrkskog,2023-06-07,1,False
724,"Found a Config but seems the format has changed, help please.",KAGEYAM4,2023-06-08,1,True
726,Key names for dpad directional,ebbisis,2023-06-12,1,False
734,Leetmouse Integration,Myrkskog,2023-07-05,0,False
735,+How to Input Unicode Characters in Input Remapper,Lady-Fitzgerald,2023-07-10,6,False
738,Can't use touchpad's BTN_TOUCH event without breaking touchpad's functionality,hxka,2023-07-12,0,False
740,Mouse right-click button delay?,rafikiphoto,2023-07-14,5,True
741,Modifier ignored when playing FF14,Masters2150,2023-07-16,0,False
748,Key acting as toggle,Fito-wolf,2023-08-09,0,False
751,Error Request to autoload .. before a user told the service about their session using set_config_dir,KAGEYAM4,2023-08-16,1,True
759,Can I disable the need for a Password?,MicHaeL-MonStaR,2023-08-27,0,False
760,Cannot Remap F13 / XF86Tools,montanajava,2023-09-03,1,False
762,1+1+2+3+4+1 outputs 4321,RickAndTired,2023-09-03,0,False
